Removal efficiency (%) by parameter and coagulant,,,
Parameter,Sisal Fibre,Banana Peel,Alum
pH,,,
Temperature (°C),,,
Electrical conductivity,36.1,28,42.3
Turbidity (NTU),16.9,7.1,24
TDS (mg/L),31.9,24.4,34.7
TSS (mg/L),58.7,67,80.2
BOD (mg/L),59.3,63.1,74.6
COD (mg/L),52.1,31.7,50.7
Calcium (mg/L),59.4,70.1,61.1
Magnesium (mg/L),69.9,69.3,41.9
Sodium (mg/L),48.8,-9.1,34
