CONTROL (UNTREATED),
Parameters,Result
pH,8
Temperature (°C),21
Electrical conductivity,6
Turbidity (NTU),7
TDS (mg/L),807
TSS (mg/L),135.05
BOD (mg/L),210
COD (mg/L),125.01
Calcium (mg/L),222.09
Magnesium (mg/L),220.37
Sodium (mg/L),200
