ALUM,,,,
Parameter,Result – Set 1,Result – Set 2,Result – Set 3,Average
pH,6.58,6.57,6.47,6.47
Temperature (°C),18.5,18.5,18.6,18.6
Electrical conductivity,4.2,4.2,4.31,4.31
Turbidity (NTU),5.23,5.08,5.5,5.5
TDS (mg/L),692,681,685.33,685.33
TSS (mg/L),115.33,15.31,16.21,16.21
BOD (mg/L),111.95,11.12,12,12
COD (mg/L),107.33,112,112.67,112.67
Calcium (mg/L),85.04,86.02,87.03,87.03
Magnesium (mg/L),111.67,200.67,205.33,205.33
Sodium (mg/L),200.67,198.67,198,198
